name,subscribers,sub_count_date,link_url,youtube_channel_id,verify_needed
부읽남TV,"1,710,000",2026-02-20,https://www.youtube.com/channel/UC2QeHNJFfuQWB4cy3M-745g,UC2QeHNJFfuQWB4cy3M-745g,N
신사임당,"2,610,000",2026-02-20,https://www.youtube.com/@CH%EC%8B%A0%EC%82%AC%EC%9E%84%EB%8B%B9,UCaJdckl6MBdDPDf75Ec_bJA,N
전인구경제연구소,"1,250,000",2026-02-20,https://www.youtube.com/@moneydo,UCznImSIaxZR7fdLCICLdgaQ,N
단희TV,"953,000",2026-02-20,https://www.youtube.com/@%EB%8B%A8%ED%9D%ACTV,UCOMG2V-vUgYX0aHiBDbBTyg,N
후랭이TV,"398,000",2026-02-20,https://www.youtube.com/@Hootv,UChnfOZtjny0KBSVkfS9nwsg,N
수페TV,"759,000",2026-02-20,https://www.youtube.com/@supe-tv,UCfnqgWlC5IvJEAPTmyjaixA,N
행크TV,"660,000",2026-02-20,https://www.youtube.com/@hank_tv,UCz4CFx4eeELZNReE_Wyit4g,N
쇼킹부동산,"460,000",2026-02-20,https://www.youtube.com/@%EC%87%BC%ED%82%B9%EB%B6%80%EB%8F%99%EC%82%B0,UCcloDgiDqz8twby7zvG-USg,N
존리의부자학교,"473,000",2026-02-20,https://www.youtube.com/@%EC%A1%B4%EB%A6%AC%EC%9D%98%EB%B6%80%EC%9E%90%ED%95%99%EA%B5%90_official,UCXWOlSe2GHTev8QZhY_gMPg,N
주식단테,"560,000",2026-02-20,https://www.youtube.com/@%EC%A3%BC%EC%8B%9D%EB%8B%A8%ED%85%8C,UC6ij59Gy_HnqO4pFu9A_zgQ,N
놀라운부동산,"289,000",2026-02-20,https://www.youtube.com/@nolboo,UCysO8h0ZdipoFZd-2-EZ4uQ,N
박병찬의부자병법,"260,000",2026-02-20,https://www.youtube.com/@RealpAsset,UCKcXypG00FkZfI_4FIcN1kA,N
E트렌드,"710,000",2026-02-20,https://www.youtube.com/@E_TREND,UCpsfkRRT7L2nBnizBn_u9YA,N
싱글파이어,"440,000",2026-02-20,https://www.youtube.com/@singlefire,UC5CyCSvCdoEP-VgQmFq3iww,N
와조스키,"220,000",2026-02-20,https://www.youtube.com/@%EC%99%80%EC%A1%B0%EC%8A%A4%ED%82%A4,UC5Mjj4LKlMtP_PXlIVYGxIQ,N
발품부동산TV,"570,000",2026-02-20,https://www.youtube.com/@bpbdstv,UCkRYaZLpNLRDqBIqPbD9NZA,N
돈파는가게,"313,000",2026-02-20,https://www.youtube.com/@moneymart_vine,UCXhu9ABheuKs8Xyu1rltImA,N
소비더머니,"929,000",2026-02-20,https://www.youtube.com/@%EC%86%8C%EB%B9%84%EB%8D%94%EB%A8%B8%EB%8B%88,UCjHn_Os5NoCXZyoXzuKth9w,N
전은성의현장이답이다,"104,000",2026-02-20,https://www.youtube.com/@%EC%A0%84%EC%9D%80%EC%84%B1%EC%9D%98%ED%98%84%EC%9E%A5%EC%9D%B4%EB%8B%B5%EC%9D%B4%EB%8B%A4,UCJmx95ElUDyDRH6nKQ7qyZg,N
부자아빠주식학교,"274,000",2026-02-20,https://www.youtube.com/@buja_papa,UC9F-3NSzjN0dfro-2MvDVrQ,N
김작가TV,"2,660,000",2026-02-20,https://www.youtube.com/@lucky_tv,UCvil4OAt-zShzkKHsg9EQAw,N
슈카월드,"3,650,000",2026-02-20,https://www.youtube.com/@syukaworld,UCFRlMO8HKDP0F3C5s_fN6kQ,N
삼프로TV,"2,860,000",2026-02-20,https://www.youtube.com/@3protv,UC9hNoPUl8xIaMMDzMjnnaQA,N
조코딩JoCoding,"716,000",2026-02-20,https://www.youtube.com/@jocoding,UCQNE2JmbasNYbjGAcuBiRRg,N
드림코딩,"165,000",2026-02-20,https://www.youtube.com/@dream-coding,UC_4u-bXaba7yrRz_6x6kb_w,N
자청,"435,000",2026-02-20,https://www.youtube.com/@jachung__,UCONUFWDbb9Y338NVLGQid3Q,Y
노마드코더,"500,000",2026-02-20,https://www.youtube.com/@nomadcoders,UCUpJs89fSBXNolQGOYKn0YQ,N
생활코딩,"340,000",2026-02-20,https://www.youtube.com/@coohde,UCvc8kv-i5fvFTJBFAk6n1SA,N
코딩애플,"428,000",2026-02-20,https://www.youtube.com/@codingapple,UCSLrpBAzr-ROVGHQ5EmxnUg,N
